date,review_count
2012-05-27,0.75
2012-06-03,1.0
2012-06-10,1.75
2012-06-17,2.0
2012-06-24,2.25
2012-07-01,2.75
2012-07-08,2.25
2012-07-15,2.5
2012-07-22,3.25
2012-07-29,3.0
2012-08-05,3.0
2012-08-12,3.5
2012-08-19,3.25
2012-08-26,3.0
2012-09-02,3.5
2012-09-09,3.5
2012-09-16,3.5
2012-09-23,5.0
2012-09-30,6.25
2012-10-07,7.0
2012-10-14,7.75
2012-10-21,7.25
2012-10-28,6.25
2012-11-04,4.75
2012-11-11,4.25
2012-11-18,4.0
2012-11-25,3.5
2012-12-02,4.25
2012-12-09,4.0
2012-12-16,3.5
2012-12-23,4.0
2012-12-30,3.5
2013-01-06,4.25
2013-01-13,3.5
2013-01-20,3.25
2013-01-27,3.0
2013-02-03,2.25
2013-02-10,3.0
2013-02-17,3.0
2013-02-24,3.5
2013-03-03,4.0
2013-03-10,5.25
2013-03-17,6.5
2013-03-24,7.75
2013-03-31,8.5
2013-04-07,8.5
2013-04-14,7.5
2013-04-21,7.25
2013-04-28,6.25
2013-05-05,5.25
2013-05-12,5.75
2013-05-19,5.75
2013-05-26,6.75
2013-06-02,8.5
2013-06-09,8.25
2013-06-16,7.75
2013-06-23,7.0
2013-06-30,5.0
2013-07-07,4.75
2013-07-14,4.75
2013-07-21,4.75
2013-07-28,6.5
2013-08-04,6.75
2013-08-11,7.5
2013-08-18,6.75
2013-08-25,6.25
2013-09-01,6.0
2013-09-08,5.5
2013-09-15,7.0
2013-09-22,7.0
2013-09-29,8.25
2013-10-06,8.25
2013-10-13,7.25
2013-10-20,6.5
2013-10-27,5.5
2013-11-03,5.5
2013-11-10,6.0
2013-11-17,5.5
2013-11-24,5.25
2013-12-01,5.25
2013-12-08,4.5
2013-12-15,4.75
2013-12-22,5.5
2013-12-29,5.5
2014-01-05,6.5
2014-01-12,5.75
2014-01-19,5.75
2014-01-26,4.5
2014-02-02,3.75
2014-02-09,4.25
2014-02-16,3.5
2014-02-23,4.25
2014-03-02,4.5
2014-03-09,6.25
2014-03-16,8.0
2014-03-23,8.25
2014-03-30,8.5
2014-04-06,8.5
2014-04-13,7.0
2014-04-20,8.75
2014-04-27,9.25
2014-05-04,9.5
2014-05-11,10.5
2014-05-18,9.0
2014-05-25,8.75
2014-06-01,8.25
2014-06-08,8.0
2014-06-15,9.5
2014-06-22,10.5
2014-06-29,9.75
2014-07-06,9.5
2014-07-13,8.25
2014-07-20,6.75
2014-07-27,7.25
2014-08-03,10.0
2014-08-10,11.0
2014-08-17,13.0
2014-08-24,13.75
2014-08-31,12.0
2014-09-07,10.75
2014-09-14,9.25
2014-09-21,8.25
2014-09-28,7.75
2014-10-05,8.75
2014-10-12,9.25
2014-10-19,11.5
2014-10-26,12.25
2014-11-02,12.0
2014-11-09,13.25
2014-11-16,11.5
2014-11-23,10.5
2014-11-30,10.25
2014-12-07,8.0
2014-12-14,8.25
2014-12-21,7.0
2014-12-28,5.25
2015-01-04,5.5
2015-01-11,5.0
2015-01-18,5.0
2015-01-25,5.25
2015-02-01,5.25
2015-02-08,4.25
2015-02-15,4.75
2015-02-22,7.0
2015-03-01,6.75
2015-03-08,7.5
2015-03-15,9.0
2015-03-22,9.5
2015-03-29,10.75
2015-04-05,12.25
2015-04-12,13.75
2015-04-19,13.5
2015-04-26,13.5
2015-05-03,14.25
2015-05-10,14.0
2015-05-17,15.5
2015-05-24,18.5
2015-05-31,20.5
2015-06-07,22.0
2015-06-14,22.5
2015-06-21,22.25
2015-06-28,20.0
2015-07-05,18.25
2015-07-12,16.5
2015-07-19,16.0
2015-07-26,18.0
2015-08-02,20.5
2015-08-09,21.75
2015-08-16,21.25
2015-08-23,20.0
2015-08-30,19.0
2015-09-06,18.75
2015-09-13,19.5
2015-09-20,19.0
2015-09-27,20.0
2015-10-04,20.0
2015-10-11,20.5
2015-10-18,21.5
2015-10-25,19.0
2015-11-01,17.5
2015-11-08,18.75
2015-11-15,17.75
2015-11-22,19.0
2015-11-29,20.25
2015-12-06,17.75
2015-12-13,18.0
2015-12-20,15.75
2015-12-27,14.5
2016-01-03,13.75
2016-01-10,11.5
2016-01-17,11.25
2016-01-24,11.5
2016-01-31,10.25
2016-02-07,11.25
2016-02-14,12.25
2016-02-21,13.0
2016-02-28,13.75
2016-03-06,14.25
2016-03-13,15.0
2016-03-20,16.75
2016-03-27,17.0
2016-04-03,18.0
2016-04-10,18.5
2016-04-17,16.75
2016-04-24,18.0
2016-05-01,19.0
2016-05-08,21.0
2016-05-15,20.5
2016-05-22,23.25
2016-05-29,25.75
2016-06-05,24.0
2016-06-12,26.25
2016-06-19,24.5
2016-06-26,24.25
2016-07-03,26.25
2016-07-10,30.0
2016-07-17,33.0
2016-07-24,32.5
2016-07-31,36.75
2016-08-07,37.0
2016-08-14,39.0
2016-08-21,41.75
2016-08-28,41.25
2016-09-04,43.0
2016-09-11,44.75
2016-09-18,46.5
2016-09-25,47.5
2016-10-02,48.75
2016-10-09,50.5
2016-10-16,48.25
2016-10-23,47.25
2016-10-30,44.0
2016-11-06,40.5
2016-11-13,40.5
2016-11-20,39.75
2016-11-27,39.5
2016-12-04,37.5
2016-12-11,36.25
2016-12-18,32.75
2016-12-25,31.25
2017-01-01,30.0
2017-01-08,31.5
2017-01-15,31.0
2017-01-22,30.5
2017-01-29,31.0
2017-02-05,28.25
2017-02-12,26.25
2017-02-19,24.75
2017-02-26,24.5
2017-03-05,23.0
2017-03-12,27.25
2017-03-19,33.25
2017-03-26,38.75
2017-04-02,43.0
2017-04-09,44.75
2017-04-16,46.0
2017-04-23,45.25
2017-04-30,48.25
2017-05-07,50.25
2017-05-14,48.75
2017-05-21,48.75
2017-05-28,47.5
2017-06-04,51.0
2017-06-11,54.5
2017-06-18,57.75
2017-06-25,60.25
2017-07-02,58.25
2017-07-09,58.25
2017-07-16,57.0
2017-07-23,57.25
2017-07-30,57.5
2017-08-06,56.25
2017-08-13,57.0
2017-08-20,57.25
2017-08-27,59.0
2017-09-03,60.5
2017-09-10,61.0
2017-09-17,61.75
2017-09-24,61.5
2017-10-01,59.75
2017-10-08,56.75
2017-10-15,56.75
2017-10-22,55.25
2017-10-29,52.0
2017-11-05,51.75
2017-11-12,47.0
2017-11-19,45.0
2017-11-26,46.0
2017-12-03,43.75
2017-12-10,45.25
2017-12-17,41.75
2017-12-24,35.5
2017-12-31,33.75
2018-01-07,30.75
2018-01-14,31.0
2018-01-21,34.5
2018-01-28,34.5
2018-02-04,32.5
2018-02-11,34.25
2018-02-18,36.5
2018-02-25,38.75
2018-03-04,38.0
2018-03-11,38.5
2018-03-18,41.0
2018-03-25,43.75
2018-04-01,52.75
2018-04-08,52.25
